essay,score
"제시문 ㉯를 바탕으로 제시문 ㉮를 보았을 때, 인터넷의 폐혜로 만들어진 혐오문화는 바람직하지 못한 것이지만 이에 맞는 명확한 규범이 없어 통제하기 어렵다는 것이다. 또한 사람들은 이러한 일탈 행동에 스며들어 주도성을 잃게된다. 이와 마찬가지로 제시문 ㉰를 바탕으로 제시문 ㉮를 보면, 혐오문화가 잘못되었다는 것을 알고있지만 반대 의견을 표출했을 때의 파장이 두려워 자신의 의견을 당당하게 내세우지 못한다는 것이다. ",2.0
"㉮는 인터넷과 스마트폰의 확산으로 청소년들 사이에 혐오문화가 급격하게 자리잡고 있음을 말한다. 이 때문에 혐오 표현을 즐기지 않는 아이들도 맞장구 치며 즐기게 되는 일이 허다하다는 사실을 전달한다. ㉯는 일탈 행동을 하는 사람들과 접촉하여 동화되는 것을 사회 구성원이 일탈 행동을 하게 되는 이유로 들었다. ㉰는 실험을 통해 사람은 타인과 다른 생각을 가지고 있음에도 대체로 다른 이들이 하는 것을 모방하게 된다는 것을 밝혔다. ㉯와 ㉰를 토대로 ㉮의 상황을 바라보면 주변 친구들이 혐오 표현을 사용하고, 그들에게 동화되기 때문에 확산되는 것이라고 볼 수 있다. ",3.0
"㉮는 학생들 사이의 혐오 문화를 드러내고 있다. ㉯의 차별 교제 이론에 따르면 사람들은 일탈 행동을 하는 집단이나 사람과의 접촉을 통해 일탈 행동을 학습한다. ㉮에서는 인터넷 커뮤니티가 학생들에게 무분별한 차별과 혐오를 학습시켰다. 또한 ㉰의 실험에서는 앞사람들이 모두 오답을 말할 때, 반대 의견을 말하는 것이 두렵기 때문에 참가자 대다수가 오답을 선택한다. 이와 마찬가지로 ㉮에서 대다수의 학생들이 혐오 표현을 쿨한 것으로 여기기 때문에 혐오 표현을 싫어하는 학생들이 이에 대한 거부감을 드러내기 어려워한다. ",1.0
"학교에서 아이들 사이에 벌어지는 혐오문화가 잘못된 행동임을 인지해도 반기를 들지 못하는 상황이 서술된다. 이는 타인이 오답임을 알았음에도 주목이 두려워 대부분이 다수의 의견을 따르는 실험 결과와 상황이 일치한다. 이러한 점은 종종 소수의 반기가 사회 결속을 악화시키는 일탈로 규정되기 때문인데, 때로는 일탈이 사회 변화를 야기시키기도 한다. 규범이 약화되었을 때, 일탈 집단을 형성하면 학습을 하고 이를 통해 서로를 동화시켜 일탈 행동을 하게 되므로 아이들은 일탈 집단을 먼저 형성해야한다. ",2.0
"제시문 ㉮의 청소년들 사이에서 일어나는 차별과 혐오 표현의 유행은 혐오 표현의 사용이 옳지 않다는 사회적 규범에 대한 일탈이다. ㉯에서 제시된 뒤르켐의 주장에 따라, 이러한 일탈은 스마트폰의 보급으로 일어난 sns 및 인터넷 방송의 이용률 증가가 자극적인 콘텐츠들의 성행으로 이어져 무너지게 된 사회적 규범의 결과이다. 또, ㉯의 차별 교제 이론과 ㉰의 심리 실험을 바탕으로 분석한다면 이런 청소년들의 일탈에 대해 불편함을 느끼는 학생들도 그들과 접촉하는 과정에서, 또는 다수의 의견을 따라야 한다는 심리에 의해 일탈 행동에 동화된다. ",2.0
제시문 ㉯는 일탈 행동은 그 행위의 집단이나 사람들과 접촉을 통해 배운다고 하였다. 제시문 ㉰는 개인의 의견이 다수의 의견에 영향을 받는다는 것을 보여주었다. 제시문 ㉮에서 혐오문화는 청소년들에게 하나의 규정이 되었다. 혐오문화를 좋아하지 않는 아이들도 자신의 의견을 피력했을 때 다른 아이들과 사이가 멀어질까 그들의 규칙에서 벗어난 행위를 하지 못했다. 혐오문화라는 틀 안에서 그들의 행위는 일탈행동이 되는 것이다. 그래서 그들은 다수의 친구들이 그런 행위를 하기에 어쩔 수 없이 다수의 의견에 동조했다. ,3.0
제시문 ㉮는 현재 대들 사이에서 혐오문화가 널리 퍼져있는 문제상황을 제시한다. 제시문 ㉯에선 사회에서 규범이 약하거나 없으면 개인은 일탈 행동을 하게되고 행동은 금방 전염이 된다는 내용을 담고 있다. 그래서 청소년들 사이에서 혐오문화가 퍼진 것도 혐오라는 일탈 행위가 널리 퍼진 것으로 볼 수 있다. 제시문 ㉰는 주변 다른 사람들이 잘못된 대답을 하면 그것이 잘못된 답임을 알면서도 동조하게 된다는 심리실험의 결과를 담고있다. 같은 원리로 혐오문화를 거부하는 학생들도 잘못됨을 알면서 같이 어울리거나 침묵하게 되는 것이다. ,3.0
" ㉮에는 혐오문화가 청소년들에게 유행하고 있고, 이를 거부할 수 없는 아이들의 상황이 제시되고 있다. ㉯의 관점에서 볼 때 ㉮의 상황이 나타난 이유는 인터넷 문화에 대한 사회적 규범 부재 때문이다. 뒤르켐이 사회적 규범이 약화될 때 개인이 일탈 행동을 하게 된다고 한 것처럼, 인터넷 커뮤니티와 문화에 대한 규제가 없었기 때문에 차별과 혐오라는 부정적 문화가 만연하게 된 것이다. ㉰에는 다수의 의견과 자신의 의견이 다를 경우 자신의 의견을 관철하기 어렵다는 심리 실험을 보여준다. ㉮의 아이들이 혐오문화를 선호하지 않지만 다수의 아이들이 혐오 문화를 즐기기 때문에 마지못해 혐오문화에 참여하게 되는 것이다. ",2.0
㉮는 대의 교실에서 만연한 청소년들의 차별과 혐오 상황을 제시한다. 과거와 달리 현재는 기술이 발달하여 인터넷의 혐오문화가 현실로 넘어왔다. 아이들은 혐오에 동참하거나 이런 혐오문화가 불편해도 말하지 않는다. ㉯의 차별 교제 이론에 따르면 일탈 행동은 일탈 행동을 하는 집단과의 접촉을 통해 그들에게 동화되어 학습된다. ㉮의 아이들은 같은 반 내에 잠식한 혐오문화에 자연스럽게 동화되어 즐기게 된 것이다. 또한 ㉰에 따르면 심리 실험에서 진짜 참가자는 정답을 알고 있었음에도 다른 참가자들과 일부로 오답을 선택했다. 아이들은 반기를 들면 반 아이들에게 이상한 취급을 받으므로 반대 의견을 낼 용기가 부족했던 것이다. ,1.0
"제시문 ㉮에 따르면, 아이들은 소셜 미디어에서 기하급수적으로 형성된 혐오표현을 사용한다고 말한다. 집단 내에서 혐오 표현을 동조하지 않으면 되려 반감 드는 상황이 만들어진다. 이것은 일탈 행동 폐해라고 볼 수 있다. 같은 집단에서 어떠한 행동 하나가 사회적 규범 성격이 강하지 않다고 생각되면 대 아이들처럼 거부감 표시를 하는 것도 할 수 없는 것이다. 그렇게 서로 혐오표현을 사용하는 과정에서 잘못된 행동이라도 그들 따라 맞춰 나간다. 이로써 제시문 ㉰의 실험 속에서 참가자들이 다수의 의견을 따른 것 또한 집단의 압력 때문이라고 볼 수 있다. 청소년들과 참가자들이 반대 의견을 낸다면 집단 내에서 외면 받는다. 사람들은 옳지 않은 행동이라 인지하여도 다수와 다른 의견을 내는 것이 집단에서의 잘못된 행동이라고 생각한다. ",1.0
