essay,score
"㉮에서는 혐오 문화가 대 사회를 장악한 상황이 나타난다. 잘못된 행동에 대해서 반기를 들면 오히려 이상한 취급을 받는다. 이와 같은 상황은 사회적으로 바람직하지 못한, 일탈 행동을 하는 자들과의 교류로 인해 일탈 행동이 학습되는 차별적 교제 이론 상황이라고 볼 수 있다. 잘못된 행동임을 인지하고 있지만, 일탈 행동을 하는 사람들과 접촉하게 되면서 그들과 함께 일탈 행동을 하는 것이다. 이와 같은 행동은 본래 규범이 존재하지만 무규범 상태이거나, 규범이 약화된 사회에서 발생한다. ",2.0
"㉮는 규제 없는 스마트폰 사용과 인터넷 방송으로 인해 청소년들 사이에서 혐오 표현이 무분별하게 사용되는 상황을 보여준다. 이러한 상황은 제시문 ㉯와 ㉰를 통해 분석할 수 있다. 뒤르켐에 의하면 사회 규범의 약화로 인해 일탈 행동이 발생하고, 사람들과의 접촉으로 일탈 행동이 확산된다. 따라서 ㉮의 상황은 마땅한 규제가 없는 학교에서 또래 간의 접촉을 통해 혐오 표현이 확산된 것으로 볼 수 있다. 한편, ㉰의 실험 참가자는 정답을 알고 있음에도 불구하고 다수의 의견인 오답을 선택했다. 이는 집단 내 다수의 의견과 상반된 의견을 제시함에 따라 발생할 수 있는 차별적인 시선에 의한 것이라고 볼 수 있다. 따라서 ㉮에 나타난 혐오 표현에 불쾌함을 느낌에도 이를 묵인하는 청소년들의 모습이 이와 유사하다. ",2.0
( 가 )의 청소년들에게는 혐오문화가 자리 잡혀 있다. 이에는 두 가지 원인이있다. 첫째급격 한 보급 및 개인 인터넷 방송의증가이다. ( 나 )의차별 교제 이론에따르면통해 일탈 행동은학습된다. 청소년들은스마트폰 등으로써 차별과 혐오를 즐기는 일탈 행위에 빈번하게 접촉하여 이에동화되었기에문화가 자리잡게 된것이다. 둘 째가진 아이들의 소극적행동이다. ( 다 )에따르면다수 의견에 묻어가려고 하는 경향이 있다. 혐오 문화에 불편함을 겪는 아이들은 이러한 경향에 따라 다수 의견에 반대하지 않고 묻어가며 소극적으로 행동하는것이다. ,2.0
" ㉮에는 혐오문화가 청소년들에게 유행하고 있고, 이를 거부할 수 없는 아이들의 상황이 제시되고 있다. ㉯의 관점에서 볼 때 ㉮의 상황이 나타난 이유는 인터넷 문화에 대한 사회적 규범 부재 때문이다. 뒤르켐이 사회적 규범이 약화될 때 개인이 일탈 행동을 하게 된다고 한 것처럼, 인터넷 커뮤니티와 문화에 대한 규제가 없었기 때문에 차별과 혐오라는 부정적 문화가 만연하게 된 것이다. ㉰에는 다수의 의견과 자신의 의견이 다를 경우 자신의 의견을 관철하기 어렵다는 심리 실험을 보여준다. ㉮의 아이들이 혐오문화를 선호하지 않지만 다수의 아이들이 혐오 문화를 즐기기 때문에 마지못해 혐오문화에 참여하게 되는 것이다. ",3.0
㉯를 바탕으로 ㉮를 분석하면 인터넷을 중심으로 양산되는 혐오문화를 막을 사회 규범이 명확히 존재하지 않아 청소년 사이에서 혐오문화 확산이 일어난 것이다. 또한 다른 학생들은 그것을 즐기는 주변 학생들에 의해 동화된다. ㉰를 바탕으로 ㉮를 분석하면 혐오문화를 즐기는 학생들에게 잘못됨을 지적하는 것은 다수의 의견 사이에서 홀로 반대의 입장을 내놓는 것과도 같기에 학생들은 선뜻 나서지 못하고 결국 혐오문화는 계속해서 확산된다. ,2.0
제시문 가는 인터넷 커뮤니티가 활발해지기 시작하면서 혐오문화가 증가하는 모습을 볼 수 있다. 혐오문화가 올바르지 않다는 사실을 알지만 외면당하지 않으려고 묵인하는 모습을 보인다. 나는 혐오문화는 사회적 규범에서 벗어난 일탈행동으로 가에서 친구들과 함께 혐오문화를 즐기는것은 사람의 접촉에 의해 학습되는것으로 차별 교제 이론이라고 볼 수 있다. 가에서는 혐오문화가 올바르지 않다는걸 알지만 다수에 대하여 반대의견을 내기 어려워하는 모습을 보인다. 이는 다에서 자신이 올바른 판단을 하고 있음에도 앞 참가자들이 선택한 정답을 얘기하며 자신의 의견을 묻어가는 모습을 보인다. ,2.0
 ㉮에 따르면 교실에 혐오와 차별이 만연하다. 이를 ㉯와 ㉰를 통해 분석해보면 다음과 같다. 먼저 주도적 규범이 없거나 약화되면 일탈이 진행된다는 뒤르캠의 말처럼 ㉮의 교실에는 주도적 규범이 부재하며 이를 만들고 이끌어갈 만한 사람도 없다. 또한 차별적 교제 이론에 따르면 보통 사람들이 일탈 행위자들과의 접촉을 통해 일탈 행위자로 동화되어간다. 정상적인 학생들도 차별과 혐오를 일삼는 학생들과 같이 있다보면 그들과 동화된다는 것이다. 한편 ㉰의 실험에 따르면 소수자는 다수가 틀리다고 생각해도 이에 순응한다. 학생들도 차별과 혐오가 만연한 분위기를 반대하지 못하고 순응하는 것이다. ,2.0
㉮는 인터넷을 통해 학습된 혐오문화를 학교라는 사회적 공간에서 일으키고 있는 내용이다. ㉯를 바탕으로 ㉮를 분석하면 인터넷 커뮤니티를 막을 주도적 규범이 존재하지 않아 일탈 행동을 저지르는 그들과의 교제를 통해 학습하여 혐오문화가 지속적으로 확산되어 나가는 것이다. ㉰를 바탕으로 ㉮를 분석하면 학교라는 사회적 공간에서 모두가 차별과 혐오를 지녔는데 자기 혼자만 다른 의견을 가지면 그 사회에서 고립되거나 자신의 의견이 맞는지 모호해져 뒤에 찾아 올 보복이 두려워 나서지 못한다. ,2.0
"㉮는 교내 혐오문화에 있어 집단의 영향력을 보여준다. ㉯는 일탈이 사회에 미치는 영향을 제시한다. 이에 따르면, ㉮는 혐오표현 사용 집단과 접촉 및 동조하는 경우가 늘었음에도 학교 규범이 이를 막지 못하여 나타난 결과이다. 그러나 ㉮는 이러한 상황이 교내 차별과 혐오의 실태를 드러냄으로써 문제 해결의 계기를 제공한다고 본다. ㉰는 다수가 개인에 미치는 영향을 보여준다. ㉮에서 혐오 표현을 문제시하는 일부 학생들은 군중 심리로 인해 자신의 생각에 대한 불확실성을 가진다. 이는 결과적으로, 학생들이 집단의 경향에 따르게끔 한다. ",2.0
"㉮에서는 혐오 표현이 주류 문화로 자리잡으면서 불편함과 거부감을 호소하면서도 쉽사리 반기를 들지 못하는 학생들이 있음을 드러내고 있다. ㉯는 ㉮에서 나타나는 혐오 표현을 일탈 행동으로 보았을 때, 혐오 표현은 자정과 제 없는 개인 인터넷 방송의 증가, 즉 사회 규범의 약화로 인해 나타났다고 볼 수 있다. 또한 그러한 행동을 보이는 사람과 접촉하면서 혐오 표현이 전파되었음을 보여준다. 반면 ㉰에서는 다수의 의견에 묻어가는 현상에 대해 이야기한다. 이는 불편함과 거부감을 호소하는 학생들 역시 다수의 의견이 맞아서 따르는 것이 아니라 그저 묻어가려고 한다는 것을 드러내고 있다. ",2.0
" ㉮에 제시된 상황은 ㉯에서 소개한 차별 교제 이론과 ㉰의 심리 실험을 통해 설명할 수 있다. ㉯에서 뒤르켐에 따르면, 사회 구성원은 일탈 행동을 하는 집단과의 접촉을 통해 그들과 동화되어 사회적 규범에서 벗어난 행동을 한다. ㉰의 실험 참가자들은 자신의 의견을 관철하기보다는 주로 다수의 의견을 따르는 경향을 보였다. ㉮에 따르면, 개인 인터넷 방송과 인터넷 커뮤니티의 혐오 문화에 무분별하게 노출된 학생들은 혐오 표현을 습득하고 즐긴다. 이에 거부감을 느끼는 학생 또한 존재하지만, 다수의 학생이 차별과 혐오를 유희로 느끼기에 반기를 들지 못한다. ",2.0
"제시문 ㉯에 따르면 규범이 약한 사회에서 벌어지는 일탈 행위는, 그러한 행동을 보이는 사람과 접촉하는 것으로 학습된다. 이는 제시문 ㉮에서 언급한 대로 인터넷 커뮤니티의 혐오 문화를 접촉할 기회가 많아진 대가 그런 문화에 잠식된 현상의 원인으로 볼 수 있다. 제시문 ㉰에서는 대다수의 사람이 거짓을 말할 때 진실 대신 다수의 의견을 따르는 심리를 보여주는 실험을 제시하였다. 이는 제시문 ㉮의 혐오 문화에 거부감을 느끼면서도 학교라는 사회에서 배척받고 싶지 않아 침묵하는 학생들의 심리와 일맥상통한다. ",2.0
