essay,score
" ㉮에서는 과거부터 이어온 청소년들의 혐오문화의 심각성이 나타나고 있다. 스마트폰, 인터넷 등 정보통신의 발달로 더욱 심화되었으며 이 문화에 반발하지 못하고 동조하고 있다. ㉯는 사회규범의 약화와 주도적 규범의 부재상황에서 집단과의 접촉을 통해 동화됨으로써 일탈이 발생한다고 주장한다. 이는 청소년들의 혐오문화가 학교라는 작은 사회 내 접촉을 통해 확산된다는 ㉮의 상황과 일맥상통하다. ㉰는 다른 참가자들의 답이 오답인걸 알면서도 반대의견을 피력하지 못하고 다수의 의견을 따르고 있다. 이는 ㉮에서 혐오 표현을 거부하지 못하고 오히려 익숙해지는 상황에 대응되는 것이다. ",3.0
"㉮를 바탕으로 ㉯를 분석하면, 명확한 규제가 존재하지 않는 사이버 공간에서 대들이 혐오문화를 즐기고 있다. 왜냐하면 일탈행동은 접촉 과정에서 동화되기 때문에 대들도 혐오문화를 피할 수 없기 때문이다. ㉮를 바탕으로 ㉰를 분석하면, 집단 내 반대입장을 표출하는 것은 용기와 배짱을 필요로 한다. 그래서 사람들은 자신의 결정이 다른 사람들과 불일치할 때 묻어가려고 한다. 혐오문화를 부정적으로 보는 대들도 집단 내 반감을 표시하기보다는 침묵하는 경우가 많다. 혐오문화가 익숙해지는 사회 속 아이들의 상처는 잊혀진다. ",2.0
 ㉮ 제시문은 또래집단 속에서 유행처럼 번져가는 혐오 문화의 문제점에 대하여 이야기하고 있다. ㉯에 나타나는 차별 교제 이론에 따르면 일탈 행동은 타인과의 접촉을 통하여 학습된다. ㉰의 실험에서 절반 이상의 참가자들은 옳은 답이 아닌 다수의 의견인 오답을 말했다. 위 입장에서 ㉮를 보면 학생들이 혐오 표현을 사용하는 것은 다른 학생들과의 교류를 통하여 학습된 행위라는 것을 알 수 있다. 또한 소수의 학생들은 본인이 잘못되었음을 인지하고 있지만 다수의 의견에 반대할 용기를 얻지 못하여서 불편함과 거부감을 표현하지 못한다. ,3.0
제시문 ㉮는 인터넷 커뮤니티가 활발해지기 시작하면서 혐오문화가 증가하는 모습을 볼 수 있다. 혐오문화가 올바르지 않다는 사실을 알지만 외면당하지 않으려고 묵인하는 모습을 보인다. ㉯는 혐오문화는 사회적 규범에서 벗어난 일탈행동으로 ㉮에서 친구들과 함께 혐오문화를 즐기는것은 사람의 접촉에 의해 학습되는것으로 차별 교제 이론이라고 볼 수 있다. ㉮에서는 혐오문화가 올바르지 않다는걸 알지만 다수에 대하여 반대의견을 내기 어려워하는 모습을 보인다. 이는 ㉰에서 자신이 올바른 판단을 하고 있음에도 앞 참가자들이 선택한 정답을 얘기하며 자신의 의견을 묻어가는 모습을 보인다. ,3.0
"㉮를 보면 규제 없는 인터넷 방송의 증가로 인해 혐오 문화가 대에게 퍼졌다. ㉯의 뒤르켐에 따르면 사회적 규범의 약화와 사람들과의 접촉을 통해 일탈 행동이 발생한다. ㉮의 학생들은 사회규범의 약화, 계속되는 사람들과의 접촉으로 인해 혐오 문화가 더 확산되었다. ㉰에서 진짜 참가자는 정답을 알고 있다. 하지만 앞사람들이 오답을 말하자 본인도 다수 의견에 따랐다. 이 실험의 결과는 ㉮에서 혐오 문화가 잘못된 것을 알고 있어도 넘어가는 학생들의 모습과 유사하다. ",3.0
"㉮에서는 혐오 문화가 대 사회를 장악한 상황이 나타난다. 잘못된 행동에 대해서 반기를 들면 오히려 이상한 취급을 받는다. 이와 같은 상황은 사회적으로 바람직하지 못한, 일탈 행동을 하는 자들과의 교류로 인해 일탈 행동이 학습되는 차별적 교제 이론 상황이라고 볼 수 있다. 잘못된 행동임을 인지하고 있지만, 일탈 행동을 하는 사람들과 접촉하게 되면서 그들과 함께 일탈 행동을 하는 것이다. 이와 같은 행동은 본래 규범이 존재하지만 무규범 상태이거나, 규범이 약화된 사회에서 발생한다. ",2.0
㉮의 청소년들에게는 혐오문화가 자리 잡혀 있다. 이에는 두 가지 원인이있다. 첫째급격 한 보급 및 개인 인터넷 방송의증가이다. ㉯의차별 교제 이론에따르면통해 일탈 행동은학습된다. 청소년들은스마트폰 등으로써 차별과 혐오를 즐기는 일탈 행위에 빈번하게 접촉하여 이에 동화되었기에 문화가 자리 잡게 된것이다. 둘 째가진 아이들의 소극적행동이다. ㉰에따르면다수 의견에 묻어가려고 하는 경향이 있다. 혐오 문화에 불편함을 겪는 아이들은 이러한 경향에 따라 다수 의견에 반대하지 않고 묻어가며 소극적으로 행동하는것이다. ,3.0
"제시문 ㉯에 따르면 규범이 약한 사회에서 벌어지는 일탈 행위는, 그러한 행동을 보이는 사람과 접촉하는 것으로 학습된다. 이는 제시문 ㉮에서 언급한 대로 인터넷 커뮤니티의 혐오 문화를 접촉할 기회가 많아진 대가 그런 문화에 잠식된 현상의 원인으로 볼 수 있다. 제시문 ㉰에서는 대다수의 사람이 거짓을 말할 때 진실 대신 다수의 의견을 따르는 심리를 보여주는 실험을 제시하였다. 이는 제시문 ㉮의 혐오 문화에 거부감을 느끼면서도 학교라는 사회에서 배척받고 싶지 않아 침묵하는 학생들의 심리와 일맥상통한다. ",2.0
㉯를 바탕으로 ㉮를 분석하면 인터넷을 중심으로 양산되는 혐오문화를 막을 사회 규범이 명확히 존재하지 않아 청소년 사이에서 혐오문화 확산이 일어난 것이다. 또한 다른 학생들은 그것을 즐기는 주변 학생들에 의해 동화된다. ㉰를 바탕으로 ㉮를 분석하면 혐오문화를 즐기는 학생들에게 잘못됨을 지적하는 것은 다수의 의견 사이에서 홀로 반대의 입장을 내놓는 것과도 같기에 학생들은 선뜻 나서지 못하고 결국 혐오문화는 계속해서 확산된다. ,3.0
㉯는사회구성원들에게규범을지키고강제하는행동인사회규범을어긋나게행동하는것이흔한일탈행동같고구성원끼리접촉해서동화되는일탈행동을한거같다. ㉰는사람들을대상으로심리실험을진행했는데실험내에서사람들은찬성의견과반대의견에서의견을따르는데고민을하고말을한것같다. ,2.0
