essay,score
제시문 ㉯는 일탈 행동은 그 행위의 집단이나 사람들과 접촉을 통해 배운다고 하였다. 제시문 ㉰는 개인의 의견이 다수의 의견에 영향을 받는다는 것을 보여주었다. 제시문 ㉮에서 혐오문화는 청소년들에게 하나의 규정이 되었다. 혐오문화를 좋아하지 않는 아이들도 자신의 의견을 피력했을 때 다른 아이들과 사이가 멀어질까 그들의 규칙에서 벗어난 행위를 하지 못했다. 혐오문화라는 틀 안에서 그들의 행위는 일탈행동이 되는 것이다. 그래서 그들은 다수의 친구들이 그런 행위를 하기에 어쩔 수 없이 다수의 의견에 동조했다. ,3.0
"㉯의 일탈 행동을 바탕으로 분석하면, 혐오를 조장하는 아이들은 일탈 행동을 하는 아이들이다. 이에 동조하는 아이들과 불편을 호소하는 아이들로 나누어져 학교라는 작은 사회의 통합과 존속을 저해한다. 혐오문화를 보이는 아이들과 접촉하고 동화되어 혐오문화에 동조하는 아이들도 있다. 다음으로, ㉰의 심리 실험의 결과로 분석하면, 사람들은 다수의 사람들과 반대 의견을 가지고 있을 때 자신의 의견을 드러내는 것을 쉽게 하지 못한다. 이러한 이유로 혐오문화에 대해 불편함을 호소하고 있는 아이들은 동조하는 다수의 아이들에게 자신들의 의견을 말하지 못하고 있다. ",3.0
㉯를 바탕으로 ㉮를 분석하면 인터넷을 중심으로 양산되는 혐오문화를 막을 사회 규범이 명확히 존재하지 않아 청소년 사이에서 혐오문화 확산이 일어난 것이다. 또한 다른 학생들은 그것을 즐기는 주변 학생들에 의해 동화된다. ㉰를 바탕으로 ㉮를 분석하면 혐오문화를 즐기는 학생들에게 잘못됨을 지적하는 것은 다수의 의견 사이에서 홀로 반대의 입장을 내놓는 것과도 같기에 학생들은 선뜻 나서지 못하고 결국 혐오문화는 계속해서 확산된다. ,3.0
"㉮는 인터넷과 스마트폰의 확산으로 청소년들 사이에 혐오문화가 급격하게 자리잡고 있음을 말한다. 이 때문에 혐오 표현을 즐기지 않는 아이들도 맞장구 치며 즐기게 되는 일이 허다하다는 사실을 전달한다. ㉯는 일탈 행동을 하는 사람들과 접촉하여 동화되는 것을 사회 구성원이 일탈 행동을 하게 되는 이유로 들었다. ㉰는 실험을 통해 사람은 타인과 다른 생각을 가지고 있음에도 대체로 다른 이들이 하는 것을 모방하게 된다는 것을 밝혔다. ㉯와 ㉰를 토대로 ㉮의 상황을 바라보면 주변 친구들이 혐오 표현을 사용하고, 그들에게 동화되기 때문에 확산되는 것이라고 볼 수 있다. ",3.0
" ㉮의 혐오문화는 ㉯의 일탈 행동과 연관된다. 차별과 혐오의 유희화는 일탈 행동과 연관되는 것으로 우리 사회에서 주도적 사회규범이 약화, 부재하는 현상과 연결될 수 있다. 또한 교실 내에서 또래 사이의 접촉을 통해 차별과 혐오가 확산되는 현상은 차별 교제 이론과 연결된다. ㉰에서 개인이 집단과 다른 의견을 내는 것에 부담을 느끼는 심리 실험은 불편함과 거부감을 느끼면서도 학생들이 적극적으로 대응하지 못하는 현상과 연결된다. 이는 자신만이 다른 의견을 내는 것에 부담을 느끼기 때문이다. ",3.0
" ㉮에서는 과거부터 이어온 청소년들의 혐오문화의 심각성이 나타나고 있다. 스마트폰, 인터넷 등 정보통신의 발달로 더욱 심화되었으며 이 문화에 반발하지 못하고 동조하고 있다. ㉯는 사회규범의 약화와 주도적 규범의 부재상황에서 집단과의 접촉을 통해 동화됨으로써 일탈이 발생한다고 주장한다. 이는 청소년들의 혐오문화가 학교라는 작은 사회 내 접촉을 통해 확산된다는 ㉮의 상황과 일맥상통하다. ㉰는 다른 참가자들의 답이 오답인걸 알면서도 반대의견을 피력하지 못하고 다수의 의견을 따르고 있다. 이는 ㉮에서 혐오 표현을 거부하지 못하고 오히려 익숙해지는 상황에 대응되는 것이다. ",3.0
㉯에게는 사회 구성원이 사회 규범을 지키지 않고 일탈 행동을 하는 사람들과의 접촉을 통해 부정적인 것에 동화가 됨을 보여준다. 이것을 바탕으로 ㉮의 상황은 대들 사이에서 다른 친구들이 차별과 혐오 표현을 하는 친구로부터 동화가 됨을 파악할 수 있다. ㉰에서는 실험에서 한 참가자가 다른 참가자들과 반대되는 행동을 보였을 시에 심한 불안감을 느낌을 알 수 있다. 이것을 바탕을 ㉮의 상황은 청소년들이 학교라는 또 하나의 사회에서 불편함을 감수하더라도 또래 집단 영역 안에 속해 있으려 함으로 파악할 수 있다. ,3.0
㉯에 따르면 ㉮에서 청소년들은 차별과 혐오 표현을 사용해도 제재를 받지 않기 때문에 청소년들의 문화로 자리 잡게 된 것을 알 수 있다. 청소년들은 혐오 표현을 사용하는 친구들과 어울리면서 일탈 행동을 습득하게 된다. 많은 청소년들이 차별과 혐오스러운 말을 하면서 혐오 표현이 정당화되는 것을 알 수 있다. ㉰에서 대부분의 사람들은 다수와 자신의 의견이 불일치할 경우 반기를 들지 않고 다수의 의견을 따르는 것처럼 ㉮에서 혐오 표현을 사용하는 것이 적절하지 않다고 생각하는 청소년들도 결국에 다수의 행동을 따라하면서 일탈 행동의 구성원이 된다. ,3.0
" ㉮에는 혐오문화가 청소년들에게 유행하고 있고, 이를 거부할 수 없는 아이들의 상황이 제시되고 있다. ㉯의 관점에서 볼 때 ㉮의 상황이 나타난 이유는 인터넷 문화에 대한 사회적 규범 부재 때문이다. 뒤르켐이 사회적 규범이 약화될 때 개인이 일탈 행동을 하게 된다고 한 것처럼, 인터넷 커뮤니티와 문화에 대한 규제가 없었기 때문에 차별과 혐오라는 부정적 문화가 만연하게 된 것이다. ㉰에는 다수의 의견과 자신의 의견이 다를 경우 자신의 의견을 관철하기 어렵다는 심리 실험을 보여준다. ㉮의 아이들이 혐오문화를 선호하지 않지만 다수의 아이들이 혐오 문화를 즐기기 때문에 마지못해 혐오문화에 참여하게 되는 것이다. ",3.0
" ㉮는 십대들 사이에서 혐오 문화가 팽배해졌음을 보여준다. 잘못된 문화란 것을 알면서도 혐오 문화를 수용하는 학생들의 태도는 ㉯, ㉰를 통해 분석할 수 있다. ㉯의 차별 교제 이론에 따라 학생들은 혐오 표현을 무분별하게 사용하는 일탈 무리와의 접촉을 통해 혐오 문화를 학습하고 동화된다. 그러나 이 문화가 옳지 못하다는 것을 인식하면서도 동조하는 것은다의 다수의 피 실험자들처럼 무리에 묻어가려는 경향이 크기 때문이다. 그 결과 혐오 문화에 대한 자정 작용이 상실되고 소수의 반대 목소리는 묵살된다. ",2.0
"㉮는 청소년들이 차별과 혐오를 놀이로 취급하는 상황이 지속된다고 말한다. 그 이유는 첫째, 반대 의견을 말하면 이상하게 보일 것 같은 사회적 압력 때문이다. ㉰의 실험과 같이 학생들도 잘못되었다는 것은 알지만 이에 맞서 반대 의견을 표현하는 것은 어렵다고 느낀다. 둘째, ㉯에 따르면 학생들이 차별과 혐오를 배우고 이에 동화되기 때문이다. 장난을 웃어넘기거나 인정하는 것이 집단에서 긍정적으로 보이기 때문에 침묵하거나 동조하게 되고 이 과정에서 차별, 혐오와 같은 일탈 행위를 학습하게 된다. 이러한 상황을 해소하기 위해 약화된 학생 사회의 규범을 강화할 필요가 있다. ",3.0
