essay,score
"㉮는 규제 없는 스마트폰 사용과 인터넷 방송으로 인해 청소년들 사이에서 혐오 표현이 무분별하게 사용되는 상황을 보여준다. 이러한 상황은 제시문 ㉯와 ㉰를 통해 분석할 수 있다. 뒤르켐에 의하면 사회 규범의 약화로 인해 일탈 행동이 발생하고, 사람들과의 접촉으로 일탈 행동이 확산된다. 따라서 ㉮의 상황은 마땅한 규제가 없는 학교에서 또래 간의 접촉을 통해 혐오 표현이 확산된 것으로 볼 수 있다. 한편, ㉰의 실험 참가자는 정답을 알고 있음에도 불구하고 다수의 의견인 오답을 선택했다. 이는 집단 내 다수의 의견과 상반된 의견을 제시함에 따라 발생할 수 있는 차별적인 시선에 의한 것이라고 볼 수 있다. 따라서 ㉮에 나타난 혐오 표현에 불쾌함을 느낌에도 이를 묵인하는 청소년들의 모습이 이와 유사하다. ",2.0
" ㉮는 청소년들의 혐오문화에 대해 서술하고 있다. 교실에까지 퍼진 혐오문화를 불편해하는 학생들도 분명히 있으나, 이들은 교실에서 소외될까 자신의 의견을 당당히 제시하지 못한다. ㉯에서 일탈 행동은 사회가 무규범 사회가 되거나 규범이 약화되는 경우, 일탈 행동을 하는 사람들끼리 접촉하는 경우에 일어난다. 이는 제재 없는 인터넷 방송의 증가, 교실에서 혐오문화를 조성하는 학생들끼리의 접촉으로 인해 혐오 표현이 쉽게 일어남을 알 수 있다. ㉰에서는 본인의 선택이 맞더라도 개인은 다수의 선택에 순응하는 모습을 보여주는데, 이는 불편함을 쉽게 드러내지 못하는 학생들의 모습을 설명할 수 있다. ",3.0
㉮는 인터넷을 통해 학습된 혐오문화를 학교라는 사회적 공간에서 일으키고 있는 내용이다. ㉯를 바탕으로 ㉮를 분석하면 인터넷 커뮤니티를 막을 주도적 규범이 존재하지 않아 일탈 행동을 저지르는 그들과의 교제를 통해 학습하여 혐오문화가 지속적으로 확산되어 나가는 것이다. ㉰를 바탕으로 ㉮를 분석하면 학교라는 사회적 공간에서 모두가 차별과 혐오를 지녔는데 자기 혼자만 다른 의견을 가지면 그 사회에서 고립되거나 자신의 의견이 맞는지 모호해져 뒤에 찾아 올 보복이 두려워 나서지 못한다. ,2.0
"㉯는 일탈행동의 원인이 사회규범의 약화라고 본 뒤르켐 이론과 일탈자와 비일탈자의 교류라고 본 차별교제론이 나타난다. ㉰는 심리실험의 사례를 통해 다수의 의견이 개인의 의견에 관철할 수 있음을 알 수 있다. 한편 제시문㉮는 청소년들 사이에서 혐오표현이 일상화된 상황이 나타난다. 이는 혐오표현에 관한 사회적 제재의 부재로 인한 일탈행동이며, 또래 내 일탈자와의 접촉을 통해 혐오표현을 학습한 결과임을 알 수 있다. 또한 혐오표현이 불쾌함에도 표출하지 못 하는 상황은 다수가 혐오표현에 동조함으로써 개인의 판단력을 저해하여 혐오표현에 대한 불쾌감 표출을 억제하는 것임을 알 수 있다. ",2.0
"㉮에서는 인터넷 커뮤니티를 통한 청소년들의 혐오문화에 흥미 있게 생각하는 다수와 그와 생각이 다르지만 다른 사람의 반기가 두려워 대응하지 못하는 소수의 상황이 나타난다. ㉯에서 일탈행동이 사회적으로 바람직하지 못한 행동임에도 사람들은 일탈행동을 보이는 이들과 접촉하는 과정에서 그들과 동화되는데, ㉮에서 혐오문화가 인터넷 커뮤니티를 통해 다른 사람과 접촉해 동화 시 되는 모습과 연관된다. ㉰에서 다수의 선택에 그와 다른 생각을 가진 소수라 하더라도 대응하지 않고 묻어가려는 모습은 ㉮의 교실 모습과 일치한다. ",2.0
㉯는사회구성원들에게규범을지키고강제하는행동인사회규범을어긋나게행동하는것이흔한일탈행동같고구성원끼리접촉해서동화되는일탈행동을한거같다. ㉰는사람들을대상으로심리실험을진행했는데실험내에서사람들은찬성의견과반대의견에서의견을따르는데고민을하고말을한것같다. ,1.0
" ㉮에는 혐오문화가 청소년들에게 유행하고 있고, 이를 거부할 수 없는 아이들의 상황이 제시되고 있다. ㉯의 관점에서 볼 때 ㉮의 상황이 나타난 이유는 인터넷 문화에 대한 사회적 규범 부재 때문이다. 뒤르켐이 사회적 규범이 약화될 때 개인이 일탈 행동을 하게 된다고 한 것처럼, 인터넷 커뮤니티와 문화에 대한 규제가 없었기 때문에 차별과 혐오라는 부정적 문화가 만연하게 된 것이다. ㉰에는 다수의 의견과 자신의 의견이 다를 경우 자신의 의견을 관철하기 어렵다는 심리 실험을 보여준다. ㉮의 아이들이 혐오문화를 선호하지 않지만 다수의 아이들이 혐오 문화를 즐기기 때문에 마지못해 혐오문화에 참여하게 되는 것이다. ",3.0
"제시문 ㉯를 바탕으로 제시문 ㉮를 보았을 때, 인터넷의 폐혜로 만들어진 혐오문화는 바람직하지 못한 것이지만 이에 맞는 명확한 규범이 없어 통제하기 어렵다는 것이다. 또한 사람들은 이러한 일탈 행동에 스며들어 주도성을 잃게된다. 이와 마찬가지로 제시문 ㉰를 바탕으로 제시문 ㉮를 보면, 혐오문화가 잘못되었다는 것을 알고있지만 반대 의견을 표출했을 때의 파장이 두려워 자신의 의견을 당당하게 내세우지 못한다는 것이다. ",2.0
제시문 ㉮는 인터넷 커뮤니티가 활발해지기 시작하면서 혐오문화가 증가하는 모습을 볼 수 있다. 혐오문화가 올바르지 않다는 사실을 알지만 외면당하지 않으려고 묵인하는 모습을 보인다. ㉯는 혐오문화는 사회적 규범에서 벗어난 일탈행동으로 ㉮에서 친구들과 함께 혐오문화를 즐기는것은 사람의 접촉에 의해 학습되는것으로 차별 교제 이론이라고 볼 수 있다. ㉮에서는 혐오문화가 올바르지 않다는걸 알지만 다수에 대하여 반대의견을 내기 어려워하는 모습을 보인다. 이는㉰에서 자신이 올바른 판단을 하고 있음에도 앞 참가자들이 선택한 정답을 얘기하며 자신의 의견을 묻어가는 모습을 보인다. ,2.0
 ㉮는 스마트폰 등 통신 수단의 보급과 차별과 혐오를 규제 없이 드러낼 수 있는 가상 공간의 등장으로 촉발된 혐오 문화가 현실에서도 펼쳐지는 문제점을 나타내고 있다. 이는 ㉯에서의 뒤르켐의 아노미 이론을 따른다. 인터넷 커뮤니티와 개인 인터넷 방송 등 혐오 표현을 표출하는 일탈 행동을 하는 집단 및 개인과 접촉하는 과정에서 그들에게 동화되어 혐오 문화가 확산 되었다. 또한 ㉮에서 일부는 혐오 표현을 즐기지 않고 오히려 불편함을 느끼지만 목소리를 내지는 못한다. 이는 ㉰에 나타난 타인의 시선을 감수하고 자신의 의견을 관철하기보단 다수의 의견에 편승하려는 심리가 반영된 것이다. ,2.0
" ㉮는 정보통신기술의 발달로 인해 혐오문화가 교실에까지 퍼지면서 이에 대한 거부감과 불편함을 겪지만 잘 대응하지 못하는 학생들의 모습을 보여준다. ㉯에 제시된 일탈 행동은 주도적 규범이 없는 상태가 되거나 사회 규범의 약화, 일탈 행동을 하는 사람들과의 접촉을 통해 발생하게 된다. 학교는 학생끼리의 접촉으로 의해 사회 규범의 약화되고 존재하지 않는다는 것을 의미하는 혐오문화가 쉽게 퍼지게 한다. ㉰에서는 개인이 집단의 선택에 순응하는 것을 보여주는데, 이는 혐오문화에 대한 거부감과 불편함이 들면서도 대응하지 못하는 학생들과 비슷하다. ",2.0
"제시문 ㉮에 따르면, 아이들은 소셜 미디어에서 기하급수적으로 형성된 혐오표현을 사용한다고 말한다. 집단 내에서 혐오 표현을 동조하지 않으면 되려 반감 드는 상황이 만들어진다. 이것은 일탈 행동 폐해라고 볼 수 있다. 같은 집단에서 어떠한 행동 하나가 사회적 규범 성격이 강하지 않다고 생각되면 대 아이들처럼 거부감 표시를 하는 것도 할 수 없는 것이다. 그렇게 서로 혐오표현을 사용하는 과정에서 잘못된 행동이라도 그들 따라 맞춰 나간다. 이로써 제시문 ㉰의 실험 속에서 참가자들이 다수의 의견을 따른 것 또한 집단의 압력 때문이라고 볼 수 있다. 청소년들과 참가자들이 반대 의견을 낸다면 집단 내에서 외면 받는다. 사람들은 옳지 않은 행동이라 인지하여도 다수와 다른 의견을 내는 것이 집단에서의 잘못된 행동이라고 생각한다. ",2.0
