essay,score
(가)에서는 경쟁을 우리 삶에서 떼어놓을 수 없는 불가피한 것으로 보며 앞으로도 우리 사회에서 경쟁이 계속될 것이기에 공정한 경쟁을 추구하기 위한 방식을 고민할 필요가 있다고 주장하고 있는 반면에 (나)에서는 흔히 사회에서 나타나는 경쟁 구도를 설명할 때 언급되는 ‘진화론’이 경쟁보다는 공존의 논리에 바탕을 두고 있다고 하며 앞으로 세상이 변화하면서 경쟁의 시대는 가고 서로 화합하며 더불어 사는 공존의 시대가 올 것이라고 말하고 있다.,2
" 제시문들은 모두 자원이 한정되어 있기에, 인류사회에서 경쟁이 필연적으로 발생한다고 본다. 그러나 궁극적으로 추구하는 삶의 방식에는 상이한 관점을 보이고 있다. 먼저 (가)는 경쟁이 참여자들에게 긍정적인 영향을 준기에 경쟁을 추구해야 한다고 본다. 경쟁은 강자와 약자가 서로를 인정하고, 개개인의 성취욕과 노력을 고양하기 때문이다. 반면 (나)는 경쟁을 넘어서 공존을 추구해야 한다고 본다. 진화론에서 생물들이 공존을 통해 번성했듯이, 인류도 상호 존중과 의존을 바탕으로 공동 번영을 추구해야 한다는 것이다.",4
" (가)와 (나)는 경쟁에 대한 오해를 설명하고 있지만 경쟁을 보는 중요도가 다르다. (가)는 경쟁을 서로 배척하게 하는 그 자체로 부정적인 것으로 인식하는 사람이 있다고 한다. 이는 오해이며 경쟁은 서로를 노력하게 하는 원동력이라고 본다. 또 경쟁은 앞으로도 불가피할 것이며 공정한 경쟁 추구 방법을 고찰하는 것이 중요하다고 한다. (나)는 사람들이 진화론을 경쟁에만 주목하는 잘못을 하는데, 사실 진화론은 진화의 원동력이 경쟁이 아니라 다양성과 공존이라고 본 이론이라 한다. 앞으로는 다양성과 공존이 중요한 가치가 되는 시대가 될 것이라 본다.",4
"구성원들 사이에선 한정된 물질 혹은 가치를 두고 서로 취득하고자 경쟁이 발생하곤 한다. 제시문 (가)는 경쟁은 인간의 본능이며, 경쟁은 인간에게 필수 불가결함을 강조한다. 경쟁 자체를 거부하는 이들에게는 경쟁은 개인의 성장을 만들어낼 수 있는 기회임을 간과하고 있다고 비판한다. 또한 공정하게 경쟁할 수 있는 방법을 찾아야 한다고 주장한다. 제시문 (나) 역시 (가)와 동일하게 경쟁이 불가피함을 인정한다. 반면 다수의 생명 종이 경쟁이 아닌 공생을 택하는 사례를 제시하며, 공존해야 한다고 하는 측면에서 (가)와의 차이점을 보여준다. ",3
"제시문 (가,나)는 경쟁에 대해 다른 입장을 보인다.제시문 (가)는 경쟁은 필연적 요소이기에 이를 부정하기보다 잘 이용하여 타인과 긍정적 상호작용이 필요하다고 말한다.제시문 (나)는 생물의 다양성은 경쟁의 방향에서의 진화보다 공존을 통한 진화가 바람직하다고 주장한다.이를 통해 제시문 (나)의 입장에서 (가)는 공전에서 벗어나 경쟁을 추구하여 관계를 악화한다고 본다.하지만 (가)의 입장에서 이는 적절하지 않다.(가)의 입장에서의 경쟁은 약자를 도태시키는 것이 아닌 서로에게 동기를 부여하여 미래를 도모하는 것이라 본다.",2
"(가)는 현대사회에서 경쟁은 사라지지 않을 것이기 때문에, 경쟁에서 얻을 수 있는 긍정적인 것들을 배워야 한다고 말한다. ‘약육강식’의 경쟁이 계속되는 사회에서 살아가기 위해서는 우리가 경쟁을 하는 과정이 공정한 경쟁이 되도록 모두가 노력해야 한다는 것이다. 이와 달리 (나)는 승자랑 패자를 가르고 강자와 약자로 우열을 나누는 경쟁체제는 부당하다고 본다. 진화론을 바탕으로 볼 때, (나)는 ‘약육강식’의 경쟁체제보다 함께 공존하고 어울리는 ‘상부상조’ 정신이 더 옳다고 주장한다. 공정한 경쟁을 추구하는 것도 좋지만 애초에 경쟁이 아닌 공존을 택하는 것이 옳다는 것이다.",3
"(가)와 (나)는 경쟁에 대해 상반된 입장을 보인다. (가)는 경쟁을 긍정적 상호작용이라 본다. 남과 경쟁하고자 하는 마음은 인간 본성이자 사회의 원동력이다. 경쟁은 개인의 능력을 최대치로 이끌었고 이는 또 경쟁을 부추겼다. 따라서 경쟁의 힘으로 건강한 경쟁 사회를 만들자고 주장한다. 반면, (나)는 경쟁을 오해에 기인한 부정적 현상이라고 본다. 오랜 기간 경쟁의 근거가 되었던 진화론은 양육강식도, 적자생존도 주장하지 않는다. 진화론은 다양성이 생태계의 원동력이라고 주장한다. 즉, 다양성을 죽이는 경쟁을 기피하고, 공존하는 삶을 추구하자고 강조한다.",4
제시문 (가)와 (나)는 경쟁에 대한 상반된 견해를 지닌다. (가)는 경쟁을 추구해야 한다고 보고 (나)는 경쟁을 배제해야 한다고 본다. (가)는 경쟁을 불가피한 것으로 여기고 사람들을 동기부여 시켜주는 긍정적 상호작용이라고 보았다. 그러므로 합리적인 경쟁 방식을 모색해야 한다는 것이다. 반면 (나)에 따르면 다양성을 추구하며 살아가기 위해서는 경쟁보다 공생의 자세가 필요하다. 획일성과 불평등은 경쟁에서 기인하기 때문에 변화되어 가는 세상에 다윈의 진화론처럼 공존의 논리에 기초를 두어야 한다.,3
"(가)와 (나)는 경쟁에 대해 (가)는 경쟁 사회를 추구하는 반면,(나)는 경쟁보다는 공동체 사회를 추구하는 견해의 차이를 보인다.
(가)는 경쟁심은 인간의 본능이며 피할 수 없다고 판단한다.따라서 이러한 경쟁의 긍정적 힘을 활용하여 공정한 경쟁을 추구할 수 있는 방법을 고민해야 한다고 주장한다.반면 (나)는 린 마굴리스의 ‘공생 진화론’에 의거하여 경쟁보다는 공존과 상부상조를 통한 공동체 사회가 삶의 최대의 가치라고 판단한다.따라서 경쟁 시대는 저물었으며 공존과 공동체 삶을 통한 화합의 필요성을 주장하고 있다.",3
" (가)는 인간의 본능인 경쟁을 배제해서는 안 된다고 본다. 경쟁이 타인과의 긍정적인 상호작용을 통해 개인의 역량을 발휘하게 하기 때문이다. 한편, (나)는 진화론이 생물 간의 우열이 없으며, 공존을 통한 진화를 중시하기 때문에 이를 약육강식의 근거로 쓸 수 없다고 본다.  두 제시문은 경쟁과 관련된 통념의 오류를 지적하고, 이를 바로잡아야 한다고 보는 점에서 공통적이다. 그러나 경쟁의 영향력에 대한 관점에서 차이를 보인다. (가)는 경쟁이 인간 사회의 기본 요소라고 보는 반면, (나)는 경쟁보다 공존의 가치를 강조한다.",4
"  제시문 (가)와 (나)는 모두 경쟁이 불가피하게 나타난다는 점을 인정하고 있지만 경쟁을 바라보는 관점에서 차이를 보이고 있다.  (가)는 경쟁을 적대시하기 보다 경쟁의 긍정적 측면을 배우고 공정한 경쟁을 추구하기 위해 고민하는 자세가 필요하다고 말한다. 그러나 (나)는 경쟁보다 공생하는 것이 생명체가 살아가기 더 나은 환경을 확보해주기에 획일성보다는 다양성, 화합의 태도에 주목한다. 결국 (가)는 경쟁 사회에서 이를 회피할 것이 아니라 긍정적 방향으로 발전시켜 나갈 것을 고민하는 데에 초점을 맞추고 있는 반면 (나)는 경쟁보다 더 효과적인 방법인 공존을 통해 다양성을 이뤄나갈 것을 강조한다.",4
" (가)와 (나)의 ‘생존을 위한 경쟁’에 대한 견해를 비교할 수 있다. 두 제시문은 모두 인간에게 경쟁이 불가피함을 인정한다. 그러나 경쟁에 대한 인식과 해결책에 대해선 상이한 견해를 보인다. 먼저, (가)는 경쟁을 긍정적으로 인식한다. 경쟁은 인간에게 생존을 위한 필수적 본능이자 성장 수단이기 때문이다. 한편, 경쟁의 약자 도태 문제를 해결하기 위해서는 선의의 경쟁과 공정한 경쟁이 필요하다. 반면, (나)는 경쟁을 부정적으로 인식한다. 경쟁은 공존을 통한 상부상조 전략을 방해하기 때문이다. 한편, 경쟁의 약유강식 문제를 해결하기 위해서는 다양성과 화합을 존중하는 공생 전략이 필요하다.  ",4
